filename,captcha_value
captcha_0.png,8f3dk
captcha_1.png,2hfyx
captcha_10.png,xrfpd
captcha_100.png,bfklbf
captcha_1000.png,h2xw3
captcha_1001.png,adexp
captcha_1002.png,npmke
captcha_1003.png,fnefh
captcha_1004.png,wkgrx
captcha_1005.png,gunwny
captcha_1006.png,a3fne
captcha_1007.png,7ddkc
captcha_1008.png,7Awm54
captcha_1009.png,43k7a
captcha_101.png,nwe5h
captcha_1010.png,a8n5k
captcha_1011.png,5axmd
captcha_1012.png,rdblpy
captcha_1013.png,kw7xa
captcha_1014.png,nfhgr
captcha_1015.png,r6pae
captcha_1016.png,p6er3
captcha_1017.png,xx5mg
captcha_1018.png,dwc6x
captcha_1019.png,ar738
captcha_102.png,n3xga
captcha_1020.png,xp5mr
captcha_1021.png,pa2ha
captcha_1022.png,4kma2
captcha_1023.png,h6h3n
captcha_1024.png,m2pbbh
captcha_1025.png,hra2g
captcha_1026.png,6ph83
captcha_1027.png,èhanx
captcha_1028.png,h8mk
captcha_1029.png,k55kf
captcha_103.png,kn4ca
captcha_1030.png,egxh2
captcha_1031.png,k3ee5
captcha_1032.png,floffx
captcha_1033.png,7k86y
captcha_1034.png,ek5ca
captcha_1035.png,76y6w
captcha_1036.png,2mnwg
captcha_1037.png,dlk6dl8
captcha_1038.png,mge7b
captcha_1039.png,kmex
captcha_104.png,8hhcp
captcha_1040.png,hec86
captcha_1041.png,rdgw4
captcha_1042.png,fepcf
captcha_1043.png,y653w
captcha_1044.png,xa465
captcha_1045.png,kryf3
captcha_1046.png,6whwX
captcha_1047.png,xykwd
captcha_1048.png,5ylbw8
captcha_1049.png,pb2gf
captcha_105.png,yy5x5
captcha_1050.png,nhyd2
captcha_1051.png,5b2p4
captcha_1052.png,a4g6f
captcha_1053.png,wflofn
captcha_1054.png,yp6pk
captcha_1055.png,m5pwg
captcha_1056.png,4ecny
captcha_1057.png,eeb52
captcha_1058.png,pr4xf
captcha_1059.png,axd4m
captcha_106.png,frfpg
captcha_1060.png,wd48g
captcha_1061.png,4wwee
captcha_1062.png,c6y8h
captcha_1063.png,aabb6
captcha_1064.png,pw5w4
captcha_1065.png,rdomk4
captcha_1066.png,p8pd4
captcha_1067.png,47p3f
captcha_1068.png,pf2ng
captcha_1069.png,np437
captcha_107.png,6cfr7
captcha_1070.png,q46dn
captcha_1071.png,hn78f
captcha_1072.png,p3x6r
captcha_1073.png,87d2g
captcha_1074.png,hmyb5
captcha_1075.png,cholm4
captcha_1076.png,4yfef
captcha_1077.png,6h4nd
captcha_1078.png,yh2hn
captcha_1079.png,ypxxd
