filename,captcha_value
captcha_434.png,682XX
captcha_1266.png,84ng7
captcha_1830.png,24y7b
captcha_1662.png,pcree
captcha_1959.png,87gcw
captcha_1930.png,63r7h
captcha_1259.png,cw8pn
captcha_301.png,3me76
captcha_1496.png,3a56x
captcha_1735.png,adf2g
captcha_253.png,bbkbf
captcha_352.png,menbp
captcha_1903.png,erben
captcha_1497.png,gwd4e
captcha_1511.png,m4wgc
captcha_219.png,h8ptbd
captcha_1904.png,82cef
captcha_436.png,ef7x3
captcha_1551.png,5npak
captcha_402.png,dapecx
captcha_1474.png,gyrd6
captcha_1763.png,hp78e
captcha_1869.png,hc83b
captcha_1320.png,3k5h6
captcha_1987.png,f8g52
captcha_1289.png,3ffa8
captcha_105.png,yy5x5
captcha_1533.png,wk37m
captcha_1601.png,ppwy4
captcha_1578.png,xk37e
captcha_1018.png,dwc6x
captcha_1095.png,8pfdlh
captcha_446.png,5bh8y
captcha_1632.png,dx7m8
captcha_1431.png,ewyk7
captcha_157.png,3nweh
captcha_1277.png,ybey7
captcha_1955.png,gkhx4
captcha_241.png,ma5bc
captcha_1442.png,gamph
captcha_1842.png,h2blhw
captcha_1736.png,myggk
captcha_1645.png,p8axf
captcha_1759.png,4bnny
captcha_1313.png,n2m87
captcha_1816.png,36e22
captcha_1812.png,d53ak
captcha_1529.png,n54pc
captcha_378.png,eke55
captcha_1070.png,q46dn
captcha_381.png,5gkxrm
captcha_1984.png,kwkg8
captcha_1977.png,krwe4
captcha_1175.png,4wc58
captcha_1370.png,xe2b6
captcha_1099.png,587ng
captcha_278.png,hehxm
captcha_390.png,2a58y
captcha_1781.png,5aphd
captcha_416.png,8brbe
captcha_411.png,xmcf5f
captcha_1854.png,xy4dp
captcha_1594.png,2pceb
captcha_1156.png,qk8r4
captcha_1211.png,mrddl3
captcha_1446.png,46er5
captcha_1801.png,aadeb
captcha_1622.png,fy3fm
captcha_315.png,b7nyy
captcha_20.png,7r4dw
captcha_1894.png,4gnym
captcha_227.png,xnma5
captcha_1492.png,n8hrh
captcha_268.png,pgd4m
captcha_45.png,gp8nr
captcha_1825.png,afnf4
captcha_1724.png,5kcnc
captcha_1648.png,m3854
captcha_1206.png,tpmflbo
captcha_450.png,dg74x
captcha_288.png,4r38x
captcha_1661.png,63xr7
captcha_1394.png,5c7fx
captcha_1600.png,3d75f
